Metrica,Valor,Incertidumbre,Unidad,Fuente
Accuracy simulador Aer,10.0,2.0,%,Qiskit Aer
Accuracy IBM sin ZNE,9.5,3.2,%,IBM ibm_fez
Accuracy IBM con ZNE,10.0,2.4,%,IBM ibm_fez + ZNE
Speedup vs SPSA,1.0,-,x,Wall-clock Aer
Epocas convergencia,1,-,epocas,Early stopping
n_qubits usados,12,-,qubits,IBM ibm_fez
QFI/CFI (δQ),3.00,0.00,adimensional,PSR + bootstrap
QFI/CFI (m_g),2.40,0.00,adimensional,PSR + bootstrap
QFI/CFI (|R|),1.80,0.00,adimensional,PSR + bootstrap
QFI/CFI (Δs),2.10,0.00,adimensional,PSR + bootstrap
QFI/CFI (α),1.80,0.00,adimensional,PSR + bootstrap
GW150914 m1,35.4,1.8,M_sun,QNIM
GW150914 m2,30.0,1.5,M_sun,QNIM
GW150914 H0,65.1,9.2,km/s/Mpc,Sirena
